-0.09,0.06,9.77
0.08,0.07,6.10
0.13,0.04,3.11
0.19,0.00,4.82
-0.07,0.06,1.95
-0.09,0.06,3.72
0.14,-0.00,3.60
0.12,0.02,6.90
0.14,0.03,0.85
-0.03,0.03,-1.28
0.11,0.03,-2.93
-0.01,0.04,1.28
0.08,0.01,-1.22
-0.04,0.07,-1.59
0.06,-0.04,0.00
-0.22,0.02,0.67
0.08,0.01,6.71
-0.16,0.01,0.79
-0.18,0.04,3.05
0.02,0.02,-4.88
-0.03,0.03,-2.32
0.11,-0.02,-3.48
0.09,0.02,-1.59
0.38,-0.01,-0.31
0.18,-0.00,-6.84
0.00,0.05,-1.59
-0.03,0.04,-3.05
0.06,0.01,-0.43
0.01,0.02,3.05
0.01,0.03,2.14
0.01,0.03,2.50
0.00,0.02,2.56
0.01,0.02,2.93
0.00,0.02,2.69
0.00,0.02,3.17
0.01,0.03,2.38
0.01,0.02,2.62
0.00,0.03,2.56
0.01,0.02,2.38
0.00,0.02,2.56
0.00,0.03,2.69
0.00,0.02,2.44
0.00,0.03,2.87
0.01,0.03,2.38
0.01,0.03,2.69
0.01,0.03,2.56
0.01,0.03,2.87
0.00,0.02,2.75
0.01,0.03,2.69
0.00,0.03,2.81
0.00,0.03,2.62
0.01,0.03,3.05
0.00,0.03,3.17
0.01,0.03,2.50
0.01,0.03,2.75
0.01,0.03,2.62
0.01,0.03,2.56
0.00,0.03,2.38
-0.00,0.02,2.08
0.01,0.02,2.69
0.00,0.02,2.14
0.00,0.03,2.56
0.01,0.03,2.44
0.00,0.02,2.69
0.01,0.02,2.56
0.00,0.02,1.95
0.01,0.03,2.81
0.01,0.03,1.71
0.01,0.03,2.62
0.00,0.02,2.38
0.01,0.03,3.11
0.01,0.03,2.81
0.00,0.02,2.69
0.00,0.02,2.99
0.00,0.02,3.36
0.00,0.03,2.26
0.01,0.03,2.50
0.00,0.03,3.11
0.00,0.02,2.56
0.01,0.03,2.99
0.00,0.03,2.44
0.00,0.03,2.50
0.01,0.02,2.50
0.01,0.03,1.89
0.00,0.03,3.11
0.01,0.03,2.62
0.01,0.03,2.69
0.00,0.02,2.50
0.00,0.02,2.08
-0.00,0.02,1.83
0.01,0.02,2.93
0.00,0.02,2.87
0.00,0.02,2.75
0.00,0.02,2.93
0.01,0.03,2.32
0.01,0.03,2.08
0.01,0.02,2.99
0.01,0.03,2.62
0.01,0.03,2.75
0.00,0.02,2.50
0.01,0.03,2.81
0.00,0.03,2.26
0.01,0.03,2.50
-0.00,0.03,2.32
0.01,0.02,2.81
0.00,0.03,2.56
0.00,0.02,2.56
0.01,0.03,2.56
0.00,0.03,2.14
-0.00,0.03,2.62
0.00,0.02,2.93
0.00,0.03,2.69
0.01,0.03,2.69
0.19,-0.16,26.49
0.02,0.07,11.66
0.03,0.07,8.12
-0.01,0.05,4.09
0.00,-0.08,2.14
-0.02,0.11,-0.18
0.06,-0.01,-0.67
0.02,0.06,-1.59
0.01,0.04,-6.10
0.06,0.10,-4.39
0.02,-0.06,-4.52
-0.01,-0.02,-8.48
0.01,0.19,-6.29
0.00,-0.01,-7.39
-0.18,-0.16,-10.25
-0.12,0.08,-7.14
0.05,-0.06,0.00
0.03,0.19,-3.91
0.09,0.24,-8.00
-0.00,-0.04,-7.02
0.02,-0.08,-3.17
0.10,0.09,0.24
-0.09,0.08,-3.11
-0.01,0.27,-12.39
-0.09,0.10,-10.86
-0.06,-0.12,-8.91
-0.01,0.19,-7.51
0.01,0.19,-0.43
0.00,0.21,-7.02
0.07,0.10,-3.36
0.01,0.09,-3.97
0.12,-0.03,-4.27
0.02,-0.03,-6.47
0.03,0.01,-7.08
-0.06,-0.01,-3.97
0.08,-0.01,-4.88
-0.08,0.04,-7.08
-0.03,-0.07,-4.58
0.06,0.07,-10.31
-0.07,-0.08,-5.37
0.05,0.11,-0.85
-0.09,0.04,-1.34
-0.05,-0.16,-2.93
0.01,0.10,0.55
0.02,0.01,-4.58
0.24,0.18,4.58
0.03,0.20,2.01
-0.02,0.15,2.50
0.06,-0.05,0.43
0.05,0.06,2.14
-0.01,0.01,0.98
-0.09,0.11,-2.69
-0.02,-0.09,3.17
-0.00,-0.10,0.43
0.03,-0.08,9.83
0.01,-0.02,5.43
0.01,0.00,3.36
0.01,0.02,2.26
0.01,0.03,3.30
0.01,0.03,2.62
0.01,0.03,2.32
0.00,0.03,3.05
0.01,0.02,2.32
0.01,0.03,2.50
0.00,0.03,1.77
0.00,0.03,2.93
0.00,0.02,2.81
0.00,0.03,2.14
0.01,0.03,2.38
0.00,0.03,2.93
0.01,0.03,2.75
0.00,0.03,2.81
0.00,0.02,2.56
0.01,0.03,2.01
0.01,0.02,2.50
0.01,0.03,2.50
0.01,0.03,2.75
0.01,0.02,2.69
0.00,0.02,2.44
0.00,0.02,3.23
0.00,0.03,3.36
0.00,0.03,2.62
0.01,0.02,2.87
0.00,0.03,2.62
0.01,0.03,3.05
0.00,0.02,2.69
0.00,0.02,3.05
0.01,0.03,2.99
0.01,0.03,2.75
0.01,0.03,2.81
0.00,0.03,2.20
0.00,0.03,2.26
0.00,0.03,3.36
0.01,0.02,3.54
0.00,0.03,2.32
0.01,0.03,2.75
0.01,0.03,2.26
0.01,0.03,2.62
0.00,0.02,2.32
0.01,0.03,2.93
0.01,0.03,2.81
0.00,0.02,2.50
0.01,0.03,2.50
0.00,0.03,3.30
0.01,0.02,2.81
0.01,0.03,2.20
0.00,0.03,2.75
0.00,0.03,2.50
0.00,0.03,2.75
0.00,0.03,2.81
0.01,0.03,1.71
0.00,0.02,2.20
0.01,0.03,2.75
0.01,0.02,2.50
0.01,0.03,2.62
0.01,0.03,2.81
0.00,0.03,2.50
0.00,0.03,2.44
0.01,0.02,2.69
0.01,0.03,2.38
0.00,0.02,2.32
0.00,-0.00,2.99
0.01,-0.02,12.39
0.01,0.00,6.96
0.01,-0.01,7.51
-0.02,-0.03,9.16
0.02,0.06,7.51
-0.03,0.06,7.57
0.06,0.10,4.52
-0.01,0.00,11.11
0.03,-0.07,10.62
0.02,0.04,4.09
0.05,-0.04,7.57
0.05,0.01,11.23
0.00,-0.04,7.69
-0.10,-0.12,4.70
0.02,0.02,5.62
-0.05,0.02,3.78
0.03,0.02,11.54
0.03,0.08,3.91
0.04,-0.07,4.82
-0.02,-0.08,5.92
0.04,-0.00,8.79
0.03,-0.15,8.12
0.04,0.01,12.94
-0.05,0.08,12.94
0.10,-0.04,11.23
-0.01,-0.06,13.18
0.15,0.05,12.63
0.05,0.03,14.59
-0.02,0.04,12.82
-0.01,0.08,12.70
-0.04,0.03,8.85
-0.01,0.07,5.80
0.12,0.12,10.80
0.08,0.15,10.25
-0.00,0.02,2.08
0.07,-0.05,4.03
0.07,-0.05,10.80
0.03,0.16,5.55
-0.01,-0.03,7.39
0.02,0.01,8.00
-0.05,0.00,3.23
-0.02,0.02,7.93
-0.02,0.17,7.81
0.12,-0.20,7.69
-0.10,0.03,10.50
0.07,0.02,10.13
-0.07,0.10,5.25
0.02,0.04,8.91
0.07,0.11,6.41
0.06,-0.03,8.18
-0.00,0.03,3.23
0.01,0.03,1.59
0.04,-0.02,6.04
0.08,0.09,7.39
-0.04,0.03,2.01
0.02,0.01,3.85
-0.00,0.03,-1.59
0.05,-0.03,3.78
-0.06,0.13,2.93
0.01,0.03,-2.44
-0.04,0.01,0.61
-0.03,0.04,0.31
0.04,0.07,3.60
0.01,0.03,1.65
-0.09,0.01,4.21
-0.03,0.04,7.39
0.02,-0.00,4.82
-0.01,0.09,7.69
0.00,0.11,8.97
0.01,0.11,6.84
-0.01,0.09,4.09
-0.03,0.04,4.09
0.01,0.01,3.30
0.01,0.07,2.38
-0.00,0.03,2.38
0.00,0.03,3.30
0.01,0.03,2.56
0.01,0.02,2.44
0.00,0.03,1.95
0.01,0.03,2.69
0.01,0.03,2.69
0.01,0.03,2.62
0.01,0.03,2.81
0.00,0.03,3.60
0.01,0.03,2.93
0.01,0.02,2.01
0.01,0.03,2.56
0.01,0.03,2.50
0.00,0.02,2.56
0.00,0.03,2.44
0.01,0.02,2.14
0.00,0.03,2.56
0.01,0.03,2.20
0.01,0.03,2.01
0.01,0.02,2.93
0.01,0.02,2.75
0.00,0.03,2.69
0.00,0.02,2.32
0.01,0.02,3.05
0.00,0.02,2.69
0.01,0.02,2.75
0.00,0.02,2.56
0.01,0.02,2.38
0.00,0.03,2.62
0.01,0.03,2.62
0.01,0.03,2.14
0.01,0.03,2.20
0.01,0.03,2.50
0.00,0.02,3.17
0.01,0.03,2.69
0.00,0.03,2.26
0.01,0.03,2.56
0.00,0.02,2.93
0.01,0.03,2.62
0.01,0.02,2.20
0.01,0.02,2.62
0.00,0.03,2.93
0.01,0.03,3.23
0.01,0.03,2.14
0.00,0.02,2.50
0.00,0.03,3.54
0.01,0.03,2.62
0.00,0.02,3.05
0.01,0.03,1.95
0.01,0.03,2.75
0.01,0.02,1.83
0.00,0.03,2.62
0.01,0.03,2.32
0.00,0.03,2.81
0.00,0.03,2.32
0.01,0.03,2.56
0.01,0.02,2.20
0.01,0.02,2.38
0.00,0.02,2.44
0.00,0.02,2.26
0.00,0.02,2.93
0.00,0.02,2.14
0.01,0.02,2.38
0.02,0.03,2.56
0.00,0.03,2.62
0.00,0.03,2.50
0.01,0.03,2.69
0.01,0.03,2.75
0.00,0.03,2.50
0.01,0.03,2.69
0.00,0.02,2.50
0.01,0.02,1.83
0.01,0.03,2.81
0.00,0.03,2.75
0.00,0.02,2.20
0.00,0.02,3.05
0.00,0.02,2.26
0.01,0.02,2.56
0.01,0.02,2.62
-0.00,0.03,2.08
-0.00,0.02,2.38
0.01,0.03,2.87
-0.00,0.02,3.05
0.00,0.02,3.17
-0.57,-0.33,9.16
-0.08,-0.03,56.88
0.01,0.02,71.78
0.08,0.05,57.19
-0.01,0.01,58.11
-0.06,-0.00,63.23
0.06,0.06,76.60
0.04,0.07,82.40
-0.05,-0.01,72.14
-0.09,-0.01,77.94
-0.02,0.03,75.62
-0.07,-0.02,84.41
-0.22,-0.02,103.82
-0.05,0.01,101.32
-0.07,-0.02,121.83
-0.06,0.04,108.64
-0.11,-0.12,135.93
-0.10,0.09,101.20
-0.16,-0.16,81.79
0.09,0.08,112.98
-0.15,-0.04,68.85
0.05,0.04,76.23
0.01,0.03,93.87
0.10,0.09,91.86
-0.03,0.01,78.49
-0.10,0.04,73.36
0.07,-0.04,49.19
0.03,0.03,84.78
0.02,0.04,92.83
-0.05,-0.04,89.42
0.01,-0.03,71.29
0.00,0.05,93.02
-0.13,0.03,93.20
0.07,-0.01,82.64
0.04,0.00,89.84
0.15,0.10,81.36
-0.11,-0.02,84.17
0.09,0.05,83.86
0.03,0.03,99.24
-0.03,0.00,86.24
-0.06,-0.01,79.96
-0.03,0.02,74.40
-0.13,-0.07,37.54
-0.14,-0.06,86.98
-0.03,-0.01,104.00
0.07,0.05,77.82
0.00,0.02,65.49
0.03,0.05,65.12
-0.00,0.02,55.48
-0.06,-0.01,48.22
0.05,0.05,44.98
0.06,0.05,39.86
0.02,0.03,38.64
0.03,0.04,26.25
0.03,0.04,16.85
0.00,0.03,9.03
-0.01,0.02,9.46
0.01,0.04,11.66
0.00,0.03,5.00
