02,0.01,2.32
25937,-0.01,0.02,33.81
25962,0.08,0.04,48.22
25986,0.07,0.03,63.78
26010,-0.12,0.00,93.57
26035,-0.02,0.02,156.19
26061,0.11,0.11,176.39
26086,0.04,0.03,176.03
26111,-0.09,-0.05,213.32
26138,-0.26,-0.09,270.26
26165,-0.08,0.01,209.11
26191,-0.04,-0.02,204.04
26218,0.27,0.07,216.25
26243,-0.01,-0.17,332.21
26270,1.02,0.46,308.53
26295,0.22,0.09,223.02
26320,-0.01,-0.03,136.11
26348,0.13,0.02,133.36
26373,0.05,0.03,88.38
26397,0.04,0.06,68.42
26420,0.01,0.03,33.08
26444,0.04,0.07,35.10
26468,0.05,0.06,22.09
26492,0.01,0.04,6.84
26515,0.00,0.03,3.72
26538,0.01,0.03,3.78
26561,-0.00,0.04,4.03
26585,-0.00,0.04,3.23
26609,-0.00,0.03,3.54
26633,-0.00,0.03,1.46
26657,-0.01,0.04,-5.80
26682,-0.00,0.03,-10.80
26708,-0.01,0.03,-1.22
26733,0.00,0.02,-0.18
26757,-0.00,0.03,-4.58
26782,-0.01,0.03,-7.45
26807,-0.00,0.03,-5.92
26832,0.00,0.02,-0.06
26856,-0.01,0.03,-1.77
26881,-0.00,0.04,-6.16
26906,0.01,0.03,-11.54
26931,0.01,0.04,-6.10
26955,0.01,0.03,-6.77
26979,0.05,0.05,-22.58
27004,0.08,0.06,-55.24
27029,-0.30,-0.15,-113.53
27057,0.07,-0.01,-167.85
27084,-0.26,-0.11,-198.06
27112,-0.10,-0.04,-188.23
27140,0.04,-0.16,-178.28
27167,0.20,0.05,-226.50
27193,-0.07,0.04,-189.27
27220,0.07,0.02,-146.30
27247,0.23,0.01,-131.47
27273,0.08,0.03,-74.58
27298,-0.16,0.02,-131.96
27325,-0.04,0.01,-148.86
27352,-0.26,-0.10,-113.34
27380,-0.01,-0.00,-108.15
27408,0.14,0.07,-103.33
27434,-0.05,0.01,-139.16
27461,-0.06,0.02,-128.05
27488,0.39,-0.05,-64.58
27514,0.00,0.05,-111.51
27540,-0.01,0.03,-86.06
27566,0.08,0.04,-53.47
27591,-0.01,0.03,-44.98
27617,-0.10,0.00,-30.09
27643,0.01,0.02,-17.94
27668,-0.01,0.02,-23.32
27694,-0.01,0.02,-11.66
27720,-0.00,0.02,-4.15
27745,-0.02,0.01,1.59
27769,0.00,0.03,3.30
27792,-0.00,0.01,4.03
27816,-0.00,0.02,4.15
27840,0.00,0.02,5.19
27863,0.00,0.02,4.58
27886,0.01,0.01,4.33
27909,-0.00,0.02,4.64
27933,-0.00,0.03,4.52
27957,-0.01,0.02,3.97
27981,-0.00,0.03,4.33
28005,-0.01,0.02,3.85
28029,0.01,0.02,3.36
28052,-0.01,0.02,3.72
28076,0.00,0.03,3.17
28099,-0.00,0.02,3.11
28123,0.00,0.03,3.36
28145,0.02,0.02,2.87
28168,0.00,0.03,3.78
28191,0.00,0.03,3.05
28214,-0.00,0.03,3.30
28238,0.01,0.02,4.58
28261,-0.02,0.02,3.78
28285,0.01,0.04,3.23
28308,-0.01,0.00,3.60
28332,0.01,0.02,3.85
28355,0.01,0.01,3.66
28378,0.00,0.02,5.25
28401,-0.01,0.02,5.25
28425,-0.01,0.02,4.82
28449,0.01,0.03,4.03
28472,-0.01,0.01,4.76
28495,-0.01,0.01,3.36
28519,-0.00,0.02,4.27
28543,0.02,0.03,3.42
28566,-0.01,0.02,3.05
28590,-0.01,0.01,2.93
28614,-0.01,0.02,2.93
28638,0.01,0.02,3.05
28661,0.00,0.02,2.62
28684,0.02,0.03,1.71
28707,-0.01,0.02,2.50
28731,-0.01,0.02,3.60
28755,0.01,0.03,2.81
28778,-0.01,0.02,3.78
28802,-0.01,0.03,3.36
28826,-0.01,0.02,3.54
28850,0.01,0.02,3.60
28873,-0.01,0.03,3.17
28897,0.01,0.02,3.60
28919,-0.00,0.02,3.36
28943,-0.01,0.02,3.85
28967,0.00,0.01,3.66
28990,0.01,0.03,3.42
29013,0.01,0.03,3.48
29036,0.00,0.02,3.85
29059,-0.00,0.00,3.66
29083,-0.00,0.01,4.21
29107,0.01,0.02,3.60
29130,0.00,0.02,3.36
29153,-0.02,0.02,4.03
29177,-0.01,0.02,3.42
29201,0.01,0.03,3.23
29224,0.01,0.03,3.54
29247,-0.00,0.03,3.11
29270,-0.02,0.02,3.36
29294,-0.00,0.02,4.03
29318,-0.00,0.03,3.60
29342,0.01,0.02,2.56
29365,0.01,0.03,3.23
29388,-0.02,0.02,2.93
29412,-0.00,0.04,2.87
29436,-0.00,0.03,3.48
29460,-0.00,0.03,2.99
29484,-0.02,0.02,3.11
29508,-0.01,0.03,3.30
29532,-0.01,0.01,3.66
29556,-0.00,0.02,4.46
29580,0.00,0.02,5.00
29603,0.01,0.02,5.43
29626,-0.00,0.03,4.33
29650,-0.01,0.02,2.75
29674,-0.03,0.03,0.79
29698,-0.01,0.03,1.59
29722,0.00,0.02,2.62
29744,0.00,0.02,3.17
29767,-0.01,0.01,3.11
29791,-0.00,0.01,3.54
29815,0.01,0.02,3.17
29838,-0.00,0.02,4.70
29862,-0.01,0.02,2.75
29886,-0.01,0.03,3.11
29910,-0.01,0.01,2.99
29934,0.00,0.02,3.05
29957,0.01,0.01,2.62
29980,0.00,0.02,3.11
30003,-0.01,0.02,3.17
30027,-0.00,0.01,2.81
30051,0.01,0.03,2.69
30074,-0.02,0.02,3.23
30098,-0.01,0.02,3.48
30122,0.01,0.02,2.93
30144,-0.00,0.02,3.17
30168,-0.00,0.01,3.30
30192,-0.01,0.02,3.42
30216,-0.01,0.01,3.42
30240,0.00,0.03,3.11
30263,0.00,0.02,3.42
30286,0.00,0.02,3.42
30309,0.01,0.02,3.42
30332,-0.00,0.01,3.85
30356,-0.00,0.00,3.
