37241,0.02,0.03,3.54
37263,0.00,0.02,3.60
37286,0.01,0.02,3.78
37309,0.01,0.03,3.05
37332,0.01,0.01,3.42
37355,0.02,0.03,3.66
37378,0.00,0.03,3.30
37401,0.00,0.02,3.05
37424,0.01,0.02,3.30
37447,-0.01,0.02,3.54
37471,-0.01,0.01,3.54
37495,-0.01,0.01,3.11
37519,0.00,0.02,3.05
37542,0.01,0.02,3.78
37564,-0.01,0.02,3.11
37588,-0.00,0.02,3.30
37612,-0.01,0.01,3.23
37636,0.01,0.01,3.05
37659,-0.01,0.02,3.17
37683,0.00,0.02,3.48
37706,0.01,0.03,3.60
37729,0.01,0.02,3.54
37752,0.01,0.02,3.05
37775,0.00,0.03,3.30
37798,0.00,0.02,3.42
37821,-0.01,0.02,3.54
37845,-0.00,0.02,3.30
37869,0.00,0.02,4.03
37892,0.01,0.02,3.48
37914,-0.00,0.01,3.78
37938,0.02,0.02,3.30
37961,0.02,0.03,3.23
37984,-0.00,0.02,3.11
38008,-0.00,0.02,3.05
38032,0.00,0.02,2.87
38055,0.02,0.02,2.81
38078,0.01,0.03,3.66
38101,0.03,0.02,3.23
38124,-0.00,0.03,3.48
38148,0.02,0.03,3.05
38171,0.02,0.03,3.36
38194,0.01,0.01,3.48
38217,-0.00,0.01,3.36
38241,-0.00,0.01,3.05
38263,-0.01,0.01,3.05
38288,-0.01,0.03,3.36
38312,-0.01,0.02,3.36
38336,0.00,0.03,3.17
38359,-0.01,0.01,3.36
38383,-0.01,0.01,3.05
38407,-0.01,0.01,3.23
38431,0.01,0.02,3.54
38454,0.01,0.03,3.78
38477,0.00,0.02,3.60
38500,0.01,0.01,-9.46
38524,0.01,0.03,-5.62
38548,-0.01,0.01,-9.83
38573,-0.29,-0.09,-9.34
38599,-0.27,-0.06,-20.69
38626,-0.39,0.06,-0.43
38651,-0.64,-0.22,-1.28
38677,-0.20,-0.15,-14.83
38704,-0.38,-0.27,-11.17
38731,-1.12,-0.33,-1.71
38757,-0.07,0.20,-11.35
38783,-0.05,0.11,-26.25
38809,-0.16,0.13,-20.94
38835,-1.17,-0.04,-34.48
38862,-0.15,0.33,178.41
38889,-0.26,-0.07,184.51
38916,-0.68,0.50,163.57
38942,-0.23,0.15,-27.28
38968,1.19,-0.31,17.33
38993,1.02,-0.08,6.41
39017,0.43,0.09,-12.21
39042,-0.16,0.16,-28.38
39068,-0.10,0.01,-45.10
39094,0.41,-0.18,-39.49
39120,0.01,-0.03,-30.27
39146,-0.10,0.10,-26.49
39172,0.08,-0.07,-30.21
39198,0.09,-0.09,-19.10
39224,-0.18,0.12,-49.56
39250,0.13,-0.01,-34.18
39276,-0.01,0.01,-10.44
39302,-0.05,0.00,-2.93
39327,-0.09,0.16,-18.74
39353,0.10,-0.13,-14.28
39379,0.08,-0.01,-11.11
39405,0.03,-0.05,1.71
39429,0.02,-0.02,2.99
39453,0.02,-0.00,3.72
39477,-0.01,-0.00,4.03
